"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","name"
"gi-joe-the-rise-of-cobra",175,141,114,231,102,146,99,181,355,315,"gi-joe-the-rise-of-cobra"
"gladiator",168,144,113,227,129,159,93,204,356,345,"gladiator"
"godzilla",132,107,75,185,66,124,85,131,310,245,"godzilla"
"gone-girl",164,183,137,199,163,169,104,239,382,413,"gone-girl"
"gone-in-60-seconds",141,144,115,202,123,146,86,175,339,314,"gone-in-60-seconds"
"grand-budapest-hotel",172,169,128,237,153,182,113,262,411,444,"grand-budapest-hotel"
"grand-hotel",97,132,72,141,101,117,82,137,248,269,"grand-hotel"
"hackers",118,102,72,137,77,98,65,125,246,216,"hackers"
"hall-pass",107,130,79,132,115,120,85,161,251,279,"hall-pass"
"hancock",187,136,144,218,110,169,93,160,414,289,"hancock"
"hanna",121,140,98,166,109,130,81,138,303,262,"hanna"
"hard-rain",95,85,68,126,67,93,61,104,221,166,"hard-rain"
"heat",119,117,79,165,81,122,71,148,288,252,"heat"
"heavenly-creatures",137,165,109,172,150,166,102,197,334,370,"heavenly-creatures"
"hellboy-2-the-golden-army",174,141,121,216,106,146,103,182,376,318,"hellboy-2-the-golden-army"
"hellboy",144,117,111,218,98,141,78,153,365,301,"hellboy"
"high-fidelity",131,125,108,146,111,150,72,148,304,290,"high-fidelity"
"highlander-endgame",175,151,110,238,123,156,90,172,398,301,"highlander-endgame"
"hostage",138,97,86,164,72,119,60,125,278,200,"hostage"
"how-to-train-your-dragon-2",141,123,84,199,106,108,96,151,310,274,"how-to-train-your-dragon-2"
"hudson-hawk",160,154,122,183,136,132,105,183,342,344,"hudson-hawk"
"i-am-number-four",160,132,103,226,96,154,97,138,368,271,"i-am-number-four"
"i-love-you-phillip-morris",103,127,83,136,119,122,67,171,251,292,"i-love-you-phillip-morris"
"imitation-game",106,123,73,143,101,123,78,165,267,277,"imitation-game"
"inception",136,116,80,174,89,141,89,164,306,252,"inception"
"independence-day",140,133,90,178,101,138,95,161,324,300,"independence-day"
"indiana-jones-and-the-last-crusade",135,143,91,196,112,124,108,172,295,312,"indiana-jones-and-the-last-crusade"
"indiana-jones-and-the-raiders-of-the-lost-ark",162,143,109,208,115,130,100,181,350,334,"indiana-jones-and-the-raiders-of-the-lost-ark"
"indiana-jones-and-the-temple-of-doom",172,150,140,262,118,180,118,147,427,291,"indiana-jones-and-the-temple-of-doom"
"inglourious-basterds",181,158,119,228,143,173,97,218,389,410,"inglourious-basterds"
"into-the-woods",126,124,97,157,120,135,79,130,294,257,"into-the-woods"
"inventing-the-abbotts",108,108,75,114,106,116,76,136,236,254,"inventing-the-abbotts"
"it-happened-one-night",146,177,108,167,165,160,114,205,369,386,"it-happened-one-night"
"jane-eyre",183,183,174,241,188,239,101,214,462,409,"jane-eyre"
"jerry-maguire",133,165,88,165,163,143,94,209,304,374,"jerry-maguire"
"judge-dredd",172,135,93,232,112,169,89,207,363,328,"judge-dredd"
"judge",28,37,22,31,26,22,14,45,55,55,"judge"
"jurassic-park-the-lost-world",175,126,126,229,113,173,108,168,414,327,"jurassic-park-the-lost-world"
"jurassic-park",168,161,109,211,130,153,112,165,387,326,"jurassic-park"
"king-kong",147,135,120,226,99,146,90,137,404,277,"king-kong"
"kung-fu-panda",100,86,56,109,79,88,67,103,213,184,"kung-fu-panda"
"lake-placid",108,88,80,132,73,113,62,115,247,192,"lake-placid"
"land-of-the-dead",118,107,84,156,84,122,66,122,285,220,"land-of-the-dead"
"leaving-las-vegas",85,102,63,100,92,98,67,120,212,221,"leaving-las-vegas"
"legend",189,188,150,280,176,203,124,195,465,380,"legend"
"legion",153,127,107,215,98,149,96,136,355,248,"legion"
"les-miserables",174,172,144,228,161,191,101,212,393,363,"les-miserables"
"looper",130,105,91,164,91,126,81,130,295,221,"looper"
"lord-of-the-rings-the-two-towers",121,98,80,181,79,129,66,122,276,218,"lord-of-the-rings-the-two-towers"
"mary-shelley's-frankenstein",211,195,162,291,175,221,116,226,501,416,"mary-shelley's-frankenstein"
"master-and-commander",150,142,99,216,125,165,96,192,369,345,"master-and-commander"
"max-payne",155,121,102,239,85,176,90,147,384,256,"max-payne"
"meet-joe-black",111,177,74,164,145,128,98,201,270,386,"meet-joe-black"
"men-in-black-3",139,114,97,159,99,109,80,141,290,271,"men-in-black-3"
"men-in-black",143,127,116,189,104,125,87,150,326,290,"men-in-black"
"metro",127,131,88,170,99,120,79,165,297,277,"metro"
"minority-report",141,110,99,189,88,163,80,151,335,284,"minority-report"
"mission-impossible-ii",121,117,73,177,78,126,81,159,301,293,"mission-impossible-ii"
"mission-impossible",91,104,69,136,72,107,60,139,239,227,"mission-impossible"
"moonrise-kingdom",143,120,94,169,90,134,87,157,305,276,"moonrise-kingdom"
"moonstruck",88,115,64,106,111,110,74,134,211,242,"moonstruck"
"natural-born-killers",149,134,93,186,102,120,82,180,298,303,"natural-born-killers"
"never-been-kissed",94,116,74,110,112,102,80,146,224,278,"never-been-kissed"
"new-york-minute",99,108,78,132,81,115,71,131,272,246,"new-york-minute"
"next",163,160,97,210,117,150,109,189,348,303,"next"
"nightbreed",167,129,115,235,111,173,93,160,372,290,"nightbreed"
