"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"1","tt0109836","movie","mary-shelley's-frankenstein","frankenstein","0","1994","\N","123","Drama,Horror,Romance"
"2","tt0022958","movie","grand-hotel","grand-hotel","0","1932","\N","112","Drama,Romance"
"3","tt0025316","movie","it-happened-one-night","it-happened-one-night","0","1934","\N","105","Comedy,Romance"
"4","tt0031725","movie","ninotchka","ninotchka","0","1939","\N","110","Comedy,Romance"
"5","tt0044907","movie","les-miserables","les-miserables","0","1952","\N","105","Adventure,Drama,History"
"6","tt0061418","movie","bonnie-and-clyde","bonnie-and-clyde","0","1967","\N","111","Action,Biography,Crime"
"7","tt0071571","movie","gone-in-60-seconds","gone-in-60-seconds","0","1974","\N","105","Action,Crime,Drama"
"8","tt0075314","movie","taxi-driver","taxi-driver","0","1976","\N","114","Crime,Drama"
"9","tt0078788","movie","apocalypse-now","apocalypse-now","0","1979","\N","147","Drama,Mystery,War"
"10","tt0080745","movie","flash-gordon","flash-gordon","0","1980","\N","111","Action,Adventure,Sci-Fi"
"11","tt0082198","movie","conan-the-barbarian","conan-the-barbarian","0","1982","\N","129","Action,Adventure,Fantasy"
"12","tt0083658","movie","blade-runner","blade-runner","0","1982","\N","117","Action,Drama,Sci-Fi"
"13","tt0084827","movie","tron","tron","0","1982","\N","96","Action,Adventure,Sci-Fi"
"14","tt0087182","movie","dune","dune","0","1984","\N","137","Action,Adventure,Sci-Fi"
"15","tt0087469","movie","indiana-jones-and-the-temple-of-doom","indiana-jones-and-the-temple-of-doom","0","1984","\N","118","Action,Adventure"
"16","tt0088206","movie","supergirl","supergirl","0","1984","\N","124","Action,Adventure,Fantasy"
"17","tt0088936","movie","code-of-silence","code-of-silence","0","1985","\N","101","Action,Crime,Drama"
"18","tt0088944","movie","commando","commando","0","1985","\N","90","Action,Adventure,Thriller"
"19","tt0093565","movie","moonstruck","moonstruck","0","1987","\N","102","Comedy,Drama,Romance"
"20","tt0093773","movie","predator","predator","0","1987","\N","107","Action,Adventure,Horror"
"21","tt0095016","movie","die-hard","die-hard","0","1988","\N","132","Action,Thriller"
"22","tt0096320","movie","twins","twins","0","1988","\N","107","Comedy,Crime"
"23","tt0096438","movie","who-framed-roger-rabbit","who-framed-roger-rabbit","0","1988","\N","104","Adventure,Animation,Comedy"
"24","tt0096446","movie","willow","willow","0","1988","\N","126","Action,Adventure,Drama"
"25","tt0096895","movie","batman","batman","0","1989","\N","126","Action,Adventure"
"26","tt0096933","movie","black-rain","black-rain","0","1989","\N","125","Action,Crime,Thriller"
"27","tt0097576","movie","indiana-jones-and-the-last-crusade","indiana-jones-and-the-last-crusade","0","1989","\N","127","Action,Adventure"
"28","tt0100260","movie","nightbreed","nightbreed","0","1990","\N","102","Action,Fantasy,Horror"
"29","tt0100935","movie","wild-at-heart","wild-at-heart","0","1990","\N","125","Comedy,Crime,Drama"
"30","tt0101393","movie","backdraft","backdraft","0","1991","\N","137","Action,Crime,Drama"
"31","tt0102070","movie","hudson-hawk","hudson-hawk","0","1991","\N","100","Action,Adventure,Comedy"
"32","tt0102685","movie","point-break","point-break","0","1991","\N","122","Action,Crime,Thriller"
"33","tt0104073","movie","deep-cover","deep-cover","0","1992","\N","107","Action,Crime,Thriller"
"34","tt0104815","movie","el-mariachi","el-mariachi","0","1992","\N","81","Action,Crime,Thriller"
"35","tt0105236","movie","reservoir-dogs","reservoir-dogs","0","1992","\N","99","Crime,Drama,Thriller"
"36","tt0106303","movie","arctic-blue","arctic-blue","0","1993","\N","95","Action,Thriller"
"37","tt0106308","movie","army-of-darkness","army-of-darkness","0","1992","\N","81","Comedy,Horror"
"38","tt0106582","movie","cliffhanger","cliffhanger","0","1993","\N","113","Action,Adventure,Thriller"
"39","tt0106834","movie","even-cowgirls-get-the-blues","even-cowgirls-get-the-blues","0","1993","\N","106","Comedy,Drama,Romance"
"40","tt0107290","movie","jurassic-park","jurassic-park","0","1993","\N","127","Action,Adventure,Sci-Fi"
"41","tt0108160","movie","sleepless-in-seattle","sleepless-in-seattle","0","1993","\N","105","Comedy,Drama,Romance"
"42","tt0108358","movie","tombstone","tombstone","0","1993","\N","130","Action,Biography,Drama"
"43","tt0108399","movie","true-romance","true-romance","0","1993","\N","119","Crime,Drama,Romance"
"44","tt0110005","movie","heavenly-creatures","heavenly-creatures","0","1994","\N","99","Biography,Crime,Drama"
"45","tt0110632","movie","natural-born-killers","natural-born-killers","0","1994","\N","118","Action,Crime,Drama"
"46","tt0110912","movie","pulp-fiction","pulp-fiction","0","1994","\N","154","Crime,Drama"
"47","tt0111503","movie","true-lies","true-lies","0","1994","\N","141","Action,Comedy,Thriller"
"48","tt0112401","movie","assassins","assassins","0","1995","\N","133","Action,Crime,Thriller"
"49","tt0112442","movie","bad-boys","bad-boys","0","1995","\N","119","Action,Comedy,Crime"
"50","tt0112697","movie","clueless","clueless","0","1995","\N","97","Comedy,Romance"
"51","tt0113243","movie","hackers","hackers","0","1995","\N","105","Crime,Drama,Romance"
"52","tt0113277","movie","heat","heat","0","1995","\N","170","Action,Crime,Drama"
"53","tt0113492","movie","judge-dredd","judge-dredd","0","1995","\N","96","Action,Crime,Sci-Fi"
"54","tt0113627","movie","leaving-las-vegas","leaving-las-vegas","0","1995","\N","111","Drama,Romance"
"55","tt0114558","movie","strange-days","strange-days","0","1995","\N","145","Crime,Drama,Sci-Fi"
"56","tt0115759","movie","broken-arrow","broken-arrow","0","1996","\N","108","Action,Adventure,Thriller"
"57","tt0116629","movie","independence-day","independence-day","0","1996","\N","145","Action,Adventure,Sci-Fi"
"58","tt0116695","movie","jerry-maguire","jerry-maguire","0","1996","\N","139","Comedy,Drama,Romance"
"59","tt0118548","movie","absolute-power","absolute-power","0","1997","\N","121","Action,Crime,Drama"
"60","tt0118571","movie","air-force-one","air-force-one","0","1997","\N","124","Action,Drama,Thriller"
"61","tt0118956","movie","deep-rising","deep-rising","0","1998","\N","106","Action,Adventure,Horror"
"62","tt0119381","movie","inventing-the-abbotts","inventing-the-abbotts","0","1997","\N","110","Drama,Romance"
"63","tt0119643","movie","meet-joe-black","meet-joe-black","0","1998","\N","178","Drama,Fantasy,Romance"
"64","tt0119654","movie","men-in-black","men-in-black","0","1997","\N","98","Action,Adventure,Comedy"
"65","tt0119664","movie","metro","metro","0","1997","\N","117","Action,Comedy,Crime"
"66","tt0119822","movie","as-good-as-it-gets","as-good-as-it-gets","0","1997","\N","139","Comedy,Drama,Romance"
