"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"161586","tt0167190","movie","hellboy","hellboy","0","2004","\N","122","Action,Adventure,Fantasy"
"161832","tt0167456","movie","thunderbirds","thunderbirds","0","2004","\N","95","Action,Adventure,Comedy"
"166575","tt0172495","movie","gladiator","gladiator","0","2000","\N","155","Action,Adventure,Drama"
"167787","tt0173746","movie","crash","crash","0","1987","\N","\N","\N"
"173039","tt0179292","movie","legend","legend","1","1990","\N","80","Adult,Mystery,Thriller"
"175263","tt0181689","movie","minority-report","minority-report","0","2002","\N","145","Action,Crime,Mystery"
"175375","tt0181813","movie","sherlock-holmes","sherlock-holmes","0","1995","\N","\N","Mystery"
"178201","tt0184858","movie","reindeer-games","reindeer-games","0","2000","\N","104","Action,Adventure,Crime"
"180694","tt0187542","movie","taxi-driver","taxi-driver","0","1978","\N","\N","Action,Drama"
"180879","tt0187738","movie","blade-ii","blade-ii","0","2002","\N","117","Action,Horror,Sci-Fi"
"188699","tt0196158","movie","ticker","ticker","0","2001","\N","92","Action,Crime,Thriller"
"190429","tt0197993","movie","up-in-the-air","up-in-the-air","1","1984","\N","79","Adult"
"198050","tt0206275","movie","save-the-last-dance","save-the-last-dance","0","2001","\N","112","Drama,Music,Romance"
"200577","tt0208988","movie","get-carter","get-carter","0","2000","\N","102","Action,Crime,Drama"
"202061","tt0210562","movie","backdraft","backdraft","0","1998","\N","\N","Documentary,Drama,Family"
"204485","tt0213149","movie","pearl-harbor","pearl-harbor","0","2001","\N","183","Action,Drama,History"
"205576","tt0214292","movie","wanted","wanted","0","1999","\N","90","Fantasy"
"208508","tt0217402","movie","drive","drive","1","1974","\N","76","Adult,Thriller"
"217886","tt0227413","movie","rush","rush","0","1980","\N","48","\N"
"221148","tt0230859","movie","taxi-driver","taxi-driver","0","1973","\N","118","Romance"
"224732","tt0234583","movie","reindeer-games","reindeer-games","0","1996","\N","113","Drama,Horror,Thriller"
"232434","tt0242576","movie","king-kong","king-kong","0","1962","\N","142","Action,Adventure,Comedy"
"248393","tt0259324","movie","ghost-rider","ghost-rider","0","2007","\N","110","Action,Fantasy,Thriller"
"251344","tt0262429","movie","gamer","gamer","0","2001","\N","92","Comedy,Sci-Fi"
"252973","tt0264116","movie","jane-eyre","jane-eyre","0","1968","\N","80","Drama,Romance"
"255615","tt0266915","movie","rush-hour-2","rush-hour-2","0","2001","\N","90","Action,Comedy,Crime"
"260797","tt0272338","movie","punch-drunk-love","punch-drunk-love","0","2002","\N","95","Comedy,Drama,Romance"
"266501","tt0278325","movie","avatar","avatar","0","1916","\N","50","Drama,Fantasy"
"278296","tt0290677","movie","jane-eyre","jane-eyre","0","1910","\N","\N","Drama"
"285193","tt0297865","movie","drive","drive","0","2002","\N","102","Crime"
"293107","tt0306230","movie","whiplash","whiplash","0","2002","\N","110","Comedy,Drama"
"294311","tt0307479","movie","solaris","solaris","0","2002","\N","99","Drama,Mystery,Romance"
"299040","tt0312380","movie","armageddon","armageddon","0","1962","\N","99","Drama"
"301873","tt0315327","movie","bruce-almighty","bruce-almighty","0","2003","\N","101","Comedy,Fantasy"
"302318","tt0315785","movie","armageddon","armageddon","0","1923","\N","\N","Drama,War"
"307111","tt0320751","movie","warrior","warrior","0","2002","\N","97","Action,Adventure,Fantasy"
"313693","tt0327554","movie","catwoman","catwoman","0","2004","\N","104","Action,Crime,Fantasy"
"316456","tt0330410","movie","hostage","hostage","0","2001","\N","100","Action"
"317319","tt0331301","movie","oblivion","oblivion","0","1997","\N","90","\N"
"319721","tt0333766","movie","garden-state","garden-state","0","2004","\N","102","Comedy,Drama,Romance"
"323826","tt0337972","movie","defiance","defiance","0","2002","\N","72","Western"
"325933","tt0340163","movie","hostage","hostage","0","2005","\N","113","Action,Crime,Drama"
"337168","tt0351977","movie","walking-tall","walking-tall","0","2004","\N","86","Action,Crime"
"345696","tt0360717","movie","king-kong","king-kong","0","2005","\N","187","Action,Adventure,Drama"
"346684","tt0361748","movie","inglourious-basterds","inglourious-basterds","0","2009","\N","153","Adventure,Drama,War"
"348170","tt0363282","movie","new-york-minute","new-york-minute","0","2004","\N","91","Comedy,Crime,Family"
"348404","tt0363525","movie","commando","commando","0","1988","\N","149","Action,Drama,Romance"
"348425","tt0363547","movie","dawn-of-the-dead","dawn-of-the-dead","0","2004","\N","101","Action,Horror"
"350387","tt0365579","movie","oblivion","oblivion","0","2004","\N","90","\N"
"350715","tt0365929","movie","whiteout","whiteout","0","2009","\N","101","Action,Crime,Mystery"
"353989","tt0369339","movie","collateral","collateral","0","2004","\N","120","Action,Crime,Drama"
