"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","DirAvgScore","DirAvgVotes","WriteAvgScore","WriteAvgVotes","isDrama","isSport","isRomance","isComedy","isAdventure","isHistory","isAction","isBiography","isCrime","isMystery","isWar","isSci-Fi","isFantasy","isThriller","isHorror","isAnimation","isMusic","isFamily","isMusical","isDocumentary","isNews","isWestern"
"1863","tt0098966","movie","three-men-and-a-little-lady","3-men-and-a-little-lady",0,1990,"\N",104,"Comedy,Drama,Family",5.5,24321,"nm0001915","nm0785684,nm0663490,nm0569210,nm0676361",6.75,158060,6.2,10337,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"1864","tt0098987","movie","the-adventures-of-ford-fairlane","the-adventures-of-ford-fairlane",0,1990,"\N",104,"Action,Adventure,Comedy",6.4,17925,"nm0001317","nm0914058,nm0135470,nm0036714,nm0918266",5.25,62354.75,6.4,17925,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1865","tt0098999","movie","agneepath","agneepath",0,1990,"\N",174,"Action,Crime,Drama",7.7,8830,"nm0002172","nm2832163,nm0434318,nm0765454",7.7,8830,7.7,8830,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1866","tt0099005","movie","air-america","air-america",0,1990,"\N",113,"Action,Comedy,War",5.8,28328,"nm0006854","nm0730313,nm0260675,nm0750701",6.53333333333333,69817,6.03333333333333,20531.6666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1867","tt0099012","movie","alice","alice",0,1990,"\N",106,"Comedy,Romance",6.6,14156,"nm0000095","nm0000095",7.925,131509.5,7.925,131509.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1868","tt0099040","movie","an-angel-at-my-table","an-angel-at-my-table",0,1990,"\N",158,"Biography,Drama",7.5,7516,"nm0001005","nm0289737,nm0428630",7.13333333333333,67533.6666666667,6.85,9566.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1869","tt0099044","movie","another-48-hrs.","another-48-hrs.",0,1990,"\N",95,"Action,Comedy,Crime",5.9,40907,"nm0001353","nm0004591,nm0006854,nm0835732,nm0001353,nm0343419,nm0211823,nm0000552",7.375,221900,6.775,260054,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1870","tt0099052","movie","arachnophobia","arachnophobia",0,1990,"\N",109,"Comedy,Horror,Thriller",6.4,68253,"nm0550881","nm0415979,nm0929975,nm0834338",7.05,489309.5,6.8,85623,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1871","tt0099077","movie","awakenings","awakenings",0,1990,"\N",121,"Biography,Drama",7.8,135978,"nm0001508","nm0755312,nm0001873",7.46666666666667,150141,7.675,453446.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1872","tt0099088","movie","back-to-the-future-part-iii","back-to-the-future-part-iii",0,1990,"\N",118,"Adventure,Comedy,Sci-Fi",7.4,429920,"nm0000709","nm0000709,nm0301826",8.025,927387,7.85,528424.75,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
