"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"2568891","nm1171959","Elissa Down","\N","\N","director,writer,producer","tt7237666,tt10714856,tt6316900,tt0865297"
"2571233","nm1172196","Robert Graysmith","1942","\N","miscellaneous,writer","tt0913306,tt0443706,tt0298744,tt1244646"
"2571673","nm1172243","Frank Hannah","1971","\N","writer,director,actor","tt3584352,tt0318374,tt1563719,tt8589850"
"2573552","nm1172430","Al Kaplan","\N","\N","composer,writer,music_department","tt6902784,tt2784512,tt8026466,tt7069682"
"2573562","nm1172431","Jon Kaplan","\N","\N","composer,writer,music_department","tt7069682,tt8026466,tt6902784,tt2784512"
"2574003","nm11724760","Nikhil Nair","\N","\N","writer","tt10230414,tt14922300,tt9856130"
"2576521","nm1172727","Corey May","\N","\N","writer,producer,script_department","tt1201133,tt2175563,tt1699759,tt2842418"
"2581831","nm1173259","Malcolm Spellman","\N","\N","producer,writer,actor","tt9208876,tt3228904,tt8429660,tt14513804"
"2582142","nm1173295","Matt Stuecken","\N","\N","writer,producer,miscellaneous","tt1179933,tt0318766,tt1046173,tt0859163"
"2582812","nm1173370","Anuradha Tiwari","\N","\N","writer,director,assistant_director","tt0362204,tt0964516,tt0248617,tt4165798"
"2591319","nm1174251","Daniel Espinosa","1977","\N","director,producer,writer","tt0476461,tt1291652,tt1599348,tt5442430"
"2594038","nm1174527","Mieke de Jong","\N","\N","writer,script_department","tt1895315,tt5709316,tt0795441,tt0400598"
"2594058","nm1174529","Walter Kirn","\N","\N","writer,actor","tt1193138,tt0318761,tt4465220,tt9426272"
"2594530","nm1174579","Ravi Kapoor","\N","\N","writer","tt0113526,tt0136352,tt0151206,tt0234000"
"2601450","nm1175275","Maurice G. Dantec","1959","2016","writer","tt0364970,tt0364154,tt0196277,tt0254775"
"2605712","nm1175724","Noboru Iguchi","1969","\N","director,writer,actor","tt1935896,tt1381512,tt1050160,tt1590796"
"2609556","nm1176135","Kentaro Miura","1966","2021","writer,music_department,art_department","tt2358913,tt0318871,tt5847454,tt2210479"
"2614930","nm1176676","Kurt Sutter","1960","\N","writer,producer,actor","tt0286486,tt4218618,tt1124373,tt1798684"
"2615036","nm1176687","Frédéric Taddeï","1961","\N","director,actor,writer","tt1130988,tt1545677,tt0872041,tt1576443"
"2616155","nm1176799","Dráuzio Varella","1943","\N","writer","tt6926328,tt6353166,tt0293007,tt10839484"
"2616700","nm1176853","Steven P. Wegner","1967","\N","producer,writer,miscellaneous","tt1392214,tt0878804,tt1564349,tt1037705"
"2622890","nm1177494","David Wnendt","1977","\N","director,writer,producer","tt4176826,tt13273800,tt2524674,tt1890373"
"2626160","nm1177837","Vera Brittain","1893","1970","writer","tt0078699,tt1303240,tt0426688,tt1441953"
"2626178","nm1177839","Serge Lehman","\N","\N","writer","tt0872041,tt0314063"
"2628358","nm1178069","Michael Roesch","1974","\N","producer,writer,director","tt0460780,tt0317676,tt0383222,tt0369226"
"2628678","nm1178114","Ikram Akhtar","\N","\N","writer,director,assistant_director","tt1508950,tt4321214,tt0326745,tt1708532"
"2629627","nm1178208","Bero Beyer","\N","\N","producer,miscellaneous,writer","tt0375761,tt2196488,tt1090680,tt0445620"
"2634354","nm1178696","Boris Khaimsky","\N","\N","actor,writer","tt0318034,tt0143281,tt7085234,tt0423433"
"2634493","nm1178713","Hirotoshi Kobayashi","\N","\N","writer,director,editor","tt10249352,tt6344334,tt8333100,tt5678870"
"2635602","nm1178832","Alex Manugian","\N","\N","writer,actor,production_manager","tt0311850,tt1192628,tt1695832,tt2866360"
"2641119","nm1179395","Alan Warner","\N","\N","writer","tt13075128,tt15811886,tt9489598,tt0300214"
"2641745","nm1179457","Milap Zaveri","\N","\N","writer,director,actor","tt10739666,tt0294662,tt0347278,tt2792284"
"2647660","nm1180074","Kate Angelo","\N","\N","producer,writer,miscellaneous","tt1212436,tt1956620,tt0157246,tt0285341"
"2650159","nm1180348","Michelle Morgan","\N","\N","actress,writer,producer","tt2644508,tt3513498,tt5952006,tt1698648"
"2651247","nm1180460","Robin Budd","\N","\N","director,animation_department,art_department","tt2252938,tt0096543,tt1159608,tt4858114"
"2652644","nm1180614","David Mitchell","1965","\N","writer,director,editor","tt0379240,tt2965814,tt0330468,tt2206160"
